Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,42.400002,43.040001,42.310001,42.480000,41.058525,2400000
2022-07-12,42.430000,43.700001,42.369999,43.049999,41.609451,4518200
2022-07-13,42.500000,43.580002,42.410000,43.139999,41.696438,3584700
2022-07-14,42.619999,42.810001,41.340000,42.700001,41.271164,3574700
2022-07-15,43.060001,43.470001,42.630001,43.459999,42.005730,2208800
2022-07-18,43.990002,44.139999,42.799999,42.900002,41.464470,2183000
2022-07-19,43.009998,44.139999,43.009998,44.040001,42.896294,2321500
2022-07-20,44.000000,44.700001,43.470001,44.169998,43.022915,2559000
2022-07-21,44.099998,44.740002,43.740002,44.650002,43.490456,2177600
2022-07-22,44.279999,44.599998,43.200001,43.340000,42.214474,3365400
2022-07-25,43.650002,44.290001,43.240002,43.849998,42.711227,2262200
2022-07-26,43.849998,44.130001,43.279999,43.430000,42.302135,2309300
2022-07-27,43.590000,44.490002,43.369999,44.290001,43.139805,1889000
2022-07-28,44.230000,44.869999,43.880001,44.500000,43.344349,1625700
2022-07-29,44.509998,45.090000,44.020000,45.060001,43.889809,2121300
2022-08-01,44.770000,45.740002,44.590000,45.419998,44.240456,1807400
2022-08-02,45.000000,45.240002,44.119999,44.259998,43.110577,2242000
2022-08-03,44.209999,44.869999,43.430000,44.450001,43.295647,3057300
2022-08-04,44.490002,44.490002,43.549999,44.200001,43.052139,3152100
2022-08-05,43.860001,45.439999,43.799999,45.410000,44.230717,3221300
2022-08-08,45.639999,46.439999,45.200001,45.450001,44.269680,2821200
2022-08-09,45.320000,45.419998,44.570000,45.090000,43.919025,2767400
2022-08-10,46.000000,47.240002,45.889999,47.230000,46.003452,1967200
2022-08-11,47.410000,48.490002,47.320000,47.599998,46.363842,2342400
2022-08-12,47.900002,48.290001,47.650002,48.220001,46.967743,1987300
2022-08-15,48.049999,48.700001,47.980000,48.299999,47.045662,2258300
2022-08-16,48.310001,49.240002,48.160000,48.590000,47.328136,2257200
2022-08-17,48.279999,48.279999,47.180000,47.830002,46.587872,2086900
2022-08-18,48.459999,49.040001,47.810001,48.939999,47.669041,2147200
2022-08-19,48.169998,48.279999,47.330002,47.669998,46.432022,2123000
2022-08-22,46.980000,47.220001,46.549999,46.840000,45.623577,2883200
2022-08-23,46.599998,47.820000,46.599998,46.939999,45.720978,2737700
