Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-12,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-13,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-14,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-15,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-18,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-19,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-20,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-21,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-22,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-25,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-26,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-27,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-28,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-07-29,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-01,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-02,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-03,11.010000,11.010000,11.010000,11.010000,11.010000,23654
2022-08-04,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-05,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-08,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-09,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-10,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-11,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-12,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-15,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-16,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-17,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-18,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-19,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-22,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-23,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-24,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-25,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-26,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-30,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-08-31,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-01,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-02,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-05,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-06,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-07,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-08,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-09,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-12,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-13,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-14,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-15,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-16,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-20,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-21,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-22,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-23,11.912000,16.000000,11.912000,12.700000,12.700000,790137
2022-09-26,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-27,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-28,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-29,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-09-30,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-03,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-04,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-05,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-06,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-07,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-10,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-11,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-12,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-13,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-14,10.050000,10.050000,10.050000,10.050000,10.050000,55600
2022-10-17,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-18,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-19,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-20,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-21,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-24,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-25,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-26,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-27,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-28,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-10-31,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-01,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-02,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-03,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-04,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-07,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-08,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-09,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-10,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-11,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-14,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-15,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-16,10.000000,10.000000,10.000000,10.000000,10.000000,99770
2022-11-17,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-18,9.500000,9.500000,9.500000,9.500000,9.500000,150000
2022-11-21,9.600000,10.250000,9.600000,10.250000,10.250000,211680
2022-11-22,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-23,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-24,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-25,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-28,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-29,3.193000,3.193000,3.193000,3.193000,3.193000,0
2022-11-30,12.310000,12.310000,12.310000,12.310000,12.310000,609365
